email,first_name,website,ref_url,provider,valid_mx
info@kcnydesign.com,KCNY,https://kcnydesign.com,https://scribtly.com/ref/1dc6279ac53de64070945a46c2950a93,Custom / Other,yes
hi@didjuno.com,Did,https://didjuno.com,https://scribtly.com/ref/f199256d50fbf1df497caf0128efd3fb,Google Workspace,yes
hello@swiftbusinesssolutions.com,Swift,https://swiftbusinesssolutions.com,https://scribtly.com/ref/a53dcdc92cb9989f7b95014c6514f41a,Google Workspace,yes
contact@mintdm.com,Mint,https://mintdm.com,https://scribtly.com/ref/86dd73cf553bcf94eb25a8c6191e2e91,Google Workspace,yes
hello@braynedigital.com,Brayne,https://braynedigital.com,https://scribtly.com/ref/62180c5ad7981cb7b066f992f364c3e4,Microsoft 365,yes
contact@megawattcontent.com,Megawatt,https://megawattcontent.com,https://scribtly.com/ref/1d2a17116a4a8ea219df6084d696847b,Google Workspace,yes
sales@yourdigitalresource.com,Digital,https://yourdigitalresource.com,https://scribtly.com/ref/a5f14a80a3796874ca109394bd444c72,Microsoft 365,yes
info@momentum3.biz,Momentum3,https://momentum3.biz,https://scribtly.com/ref/7565fd9ec1571eef97227d99bf717b7e,Microsoft 365,yes
info@captivabranding.com,Captiva,https://captivabranding.com,https://scribtly.com/ref/70c50d3c23046d599613a1eb9c8242cd,Google Workspace,yes
sales@appwt.com,AppWT,https://appwt.com,https://scribtly.com/ref/80984a5187c33fd61c8be3b05e7c0cbd,Custom / Other,yes
hello@greengeckodigital.co.uk,Green,https://greengeckodigital.co.uk,https://scribtly.com/ref/082ee3b2949a89d6c323fd1b1378e850,Zoho Mail,yes
reuben@pixelhatch.com.au,Pixelhatch,https://pixelhatch.com.au,https://scribtly.com/ref/a83289f83516df471070efd822a24577,Microsoft 365,yes
contact@hyperlnx.com,HyperLnx,https://hyperlnx.com,https://scribtly.com/ref/c53adcfc97fa40a864ff8ec18bf4f555,Google Workspace,yes
info@wideripples.com,Wide,https://wideripples.com,https://scribtly.com/ref/042a34c64a318c5341df97053996afe5,Zoho Mail,yes
admin@pilchbarnet.com,Pilch,https://pilchbarnet.com,https://scribtly.com/ref/66aa87425ec53ee93692eac817327b80,Google Workspace,yes
info@newflow.hu,NewFlow,https://newflow.hu,https://scribtly.com/ref/d8570e505b56ce15d26c7e3d6acd98f2,Custom / Other,yes
info@weareparliament.com,Parliament,https://weareparliament.com,https://scribtly.com/ref/5fcb33958210ee332c3c51c8e446e48f,Google Workspace,yes
office@perfect-pr.com.ua,Perfect,https://perfect-pr.com.ua,https://scribtly.com/ref/75a3b39fb85caad53e736e793f3b278b,Google Workspace,yes
hello@wisetiger.co.uk,Wisetiger,https://wisetiger.co.uk,https://scribtly.com/ref/cb9388927c5f5d674b922b11ac865bb4,Google Workspace,yes
howdy@juniperworkshop.com,Juniper,https://juniperworkshop.com,https://scribtly.com/ref/3c9fc4845c962a74f8dba80571ff9f68,Google Workspace,yes
hello@cologydigital.com,Cology,https://cologydigital.com,https://scribtly.com/ref/af5e71427ee9557b31b3ae20036d49a1,Custom / Other,yes
hello@designweblouisville.com,Design,https://designweblouisville.com,https://scribtly.com/ref/c5272e8b83711e4b1646d23c4df8e9bc,Google Workspace,yes
da@kruchenas.net,Kruchenas,https://kruchenas.net,https://scribtly.com/ref/eb546baadee5dad8e4fcdbcf7fd7511e,Google Workspace,yes
info@theajcenter.com,The,https://theajcenter.com,https://scribtly.com/ref/490616ccaeda5a9dc0de99faf885986b,Zoho Mail,yes
info@cronboost.com,Cronboost,https://cronboost.com,https://scribtly.com/ref/d027470a0b8fdf418bb307dd3ac3fcd8,Zoho Mail,yes
info@websitedesignhive.com,Website,https://websitedesignhive.com,https://scribtly.com/ref/61cb028697f42365e46b68637fac3656,Custom / Other,yes
hello@portuguesecontent.com,Portuguese,https://portuguesecontent.com,https://scribtly.com/ref/78f61a975a20cd8c5edabec145f9ebec,Custom / Other,yes
info@ajmarketing.io,AJ,https://ajmarketing.io,https://scribtly.com/ref/44cf6b3cb7a94837f585c5bafe2bf32d,Google Workspace,yes
bolther@friction.dk,Friction,https://friction.dk,https://scribtly.com/ref/fb46f57d390f658e3bbbd0140a475561,Custom / Other,yes
info@itservicesindia.com,IT,https://itservicesindia.com,https://scribtly.com/ref/a0557995f1e8c1c09618cce72e5929dd,Google Workspace,yes
info@syncshow.com,SyncShow,https://syncshow.com,https://scribtly.com/ref/316b278fefc8b62ac43374a32bb1b549,Google Workspace,yes
seo@perfect-seo.com,Perfect,https://perfect-seo.com,https://scribtly.com/ref/eb571320361987e8e6887104a7c9486a,Custom / Other,yes
info@crowepr.com,Crowe,https://crowepr.com,https://scribtly.com/ref/9f678b6f7ba0e7fd24493ada8cb99424,Microsoft 365,yes
info@designenvy.com,DesignEnvy,https://designenvy.com,https://scribtly.com/ref/a3aa2332d42a289bf00254a5cec4d4ee,Google Workspace,yes
hello@drxlr.com,Drexler,https://drxlr.com,https://scribtly.com/ref/fafcff1c4899a518442b8828911bbe02,Google Workspace,yes
contact@chardo-anim.com,Chardo,https://chardo-anim.com,https://scribtly.com/ref/86de2c841a99ece9479882c6d20d59e7,Google Workspace,yes
info@payanimedia.com,Payani,https://payanimedia.com,https://scribtly.com/ref/e74112d07d3a5063a450fa2d81ce1c16,Google Workspace,yes
info@dipuzzle.com,DiPuzzle,https://dipuzzle.com,https://scribtly.com/ref/51f6768202245cc305023092df880468,Microsoft 365,yes
hello@opusdesign.us,Opus,https://opusdesign.us,https://scribtly.com/ref/53a03647907586f528d5e7af249ecee2,Google Workspace,yes
ask@rfi.asia,RFI,https://rfi.asia,https://scribtly.com/ref/7af61ea9779092577c0ce17ecbb77ceb,Microsoft 365,yes
info@levinesenterprises.com,Levine's,https://levinesenterprises.com,https://scribtly.com/ref/e1a2da02a374c5b6d6accbfb1d2e172b,Google Workspace,yes
info@edgedigital.agency,Edge,https://edgedigital.agency,https://scribtly.com/ref/2ce17f37a7a21a3fa5864b3b7ca4b708,Google Workspace,yes
info@ikonik.digital,Ikonik,https://ikonik.digital,https://scribtly.com/ref/1e7dc5a05e62a77b21a67dcdcbe5b258,Google Workspace,yes
cjs@edrivenmarketing.com,eDriven,https://edrivenmarketing.com,https://scribtly.com/ref/ddc5ec151a9ae37e63a11b8f39c19575,Microsoft 365,yes
info@530.expert,530,https://530.expert,https://scribtly.com/ref/21350ffcce92eef2d28cd2b652a98d19,Google Workspace,yes
jodi@varsitytime.com,Varsity,https://varsitytime.com,https://scribtly.com/ref/0c5880ff9009c1bf99b72cad931ea947,Custom / Other,yes
admin@venturestudios.biz,VentureStudio,https://venturestudios.biz,https://scribtly.com/ref/d2239d363c903e7778e2a9de171c741e,Google Workspace,yes
info@thedigitalperch.com,The,https://thedigitalperch.com,https://scribtly.com/ref/2be65f734a541132513f5790662bfa57,Google Workspace,yes
george@weld.ws,WELD,https://weld.ws,https://scribtly.com/ref/ce111d013f0e2b50023a71c5ea6b7d93,Google Workspace,yes
info@noboxidea.com,Noboxidea,https://noboxidea.com,https://scribtly.com/ref/5d89959e51a9c8d48c1a0f91478b30ee,Custom / Other,yes
info@newcapepictures.com,New,https://newcapepictures.com,https://scribtly.com/ref/d4f76f4c629ae2f2f27df5910c1a7a5b,Custom / Other,yes
team@materiell.com,Materiell,https://materiell.com,https://scribtly.com/ref/90b8d504342a6293d5b513db89108215,Google Workspace,yes
info@xaipemorandini.com,XAIPE,https://xaipemorandini.com,https://scribtly.com/ref/5912d0892962a95be3a77cb55810cf26,Google Workspace,yes
sales@luminary.software,Luminary,https://luminary.software,https://scribtly.com/ref/7308d47299cb70f5b7560679390498ac,Zoho Mail,yes
hello@digitalmedianinja.com,Digital,https://digitalmedianinja.com,https://scribtly.com/ref/6e1a1bcd82bdc6f990f4493da8fc02a1,Google Workspace,yes
info@threesixtys.com,Three,https://threesixtys.com,https://scribtly.com/ref/662d27f0a633d127ba090b492961c0b8,Google Workspace,yes
patrice@patricehorvathdesign.com,Patrice,https://patricehorvathdesign.com,https://scribtly.com/ref/76b27716d013b434cfbc37671e55d3d6,Google Workspace,yes
info@stratopiamarketing.com,Stratopia,https://stratopiamarketing.com,https://scribtly.com/ref/cf61315499466722c52a7d96d4b04851,Custom / Other,yes
hr@clickable.agency,Clickable,https://clickable.agency,https://scribtly.com/ref/459e9c965c800e5de26664f756d96df8,Google Workspace,yes
info@novazoradigital.com,Nova,https://novazoradigital.com,https://scribtly.com/ref/357d0f43faec6eb9f46bb4fd2c6e371b,Custom / Other,yes
info@sodaspoon.com,Soda,https://sodaspoon.com,https://scribtly.com/ref/ae55de67e5b7fa5fb67c6bc902549389,Google Workspace,yes
marketing@thepeachycompany.com,The,https://thepeachycompany.com,https://scribtly.com/ref/03c6ee8593ac7d7be10dcb0dc5f6c1d8,Custom / Other,yes
info@threadgroup.com,Thread,https://threadgroup.com,https://scribtly.com/ref/f50d9b6158f86ff7ed8a4160431063e8,Custom / Other,yes
hello@360growthmarketers.com,360Growth,https://360growthmarketers.com,https://scribtly.com/ref/f8ec1718683ba46b6ba8acd613d4b1cb,Google Workspace,yes
team@dpedijital.com,DPE,https://dpedijital.com,https://scribtly.com/ref/097a9d6355fa1632aee8d0e877e9f912,Google Workspace,yes
info@webseomarket.com,WebSEOmarket,https://webseomarket.com,https://scribtly.com/ref/5d62d0cc69c659c7c6bbeb23b632fa82,Custom / Other,yes
info@hometowndesignstudio.com,Hometown,https://hometowndesignstudio.com,https://scribtly.com/ref/b95141faa0078beb1fe38a649b411f31,Google Workspace,yes
info@staminamarketing.com,STAMINA,https://staminamarketing.com,https://scribtly.com/ref/397a3c9fd6a5d7d24593e91b2a873876,Custom / Other,yes
info@evolutionmarketing.com,Evolution,https://evolutionmarketing.com,https://scribtly.com/ref/b990940dd7e5ae53c4c115ba0c5c396e,Google Workspace,yes
info@teamcatalyst.com,Catalyst,https://teamcatalyst.com,https://scribtly.com/ref/02ef32788d4cea960d4f7822b405f118,Microsoft 365,yes
info@marktg.ai,marktgAI,https://marktg.ai,https://scribtly.com/ref/b1d867edbfa3b00b6a093fbceeb40e7b,Google Workspace,yes
hello@digitalzooks.com,Digitalzooks,https://digitalzooks.com,https://scribtly.com/ref/02ade68018356ada9f2eecb706befecf,Zoho Mail,yes
info@techwyse.com,TechWyse,https://techwyse.com,https://scribtly.com/ref/b3da0979493c8a95e3ade181dab11898,Google Workspace,yes
info@seostrategy.co.uk,SEO,https://seostrategy.co.uk,https://scribtly.com/ref/0ba9f950e17a842554ad78f742047935,Custom / Other,yes
info@threesquared.com,three,https://threesquared.com,https://scribtly.com/ref/c335146a7f3ee1456c960339f58b583b,Google Workspace,yes
candogan@leindigital.com,Lein,https://leindigital.com,https://scribtly.com/ref/305d1b97f750fdf188ded9166bf3c3f3,Google Workspace,yes
info@ormtechies.com,ORM,https://ormtechies.com,https://scribtly.com/ref/9ad9aae5e3dfc37f0264a3c6dec48b3b,Google Workspace,yes
hello@xlncdigital.com,XLNC,https://xlncdigital.com,https://scribtly.com/ref/e3155f38aeab326501cdf45b3385f65c,Microsoft 365,yes
info@omnislashvisual.com,Omnislash,https://omnislashvisual.com,https://scribtly.com/ref/e8d78051aa74e1ec0f6eb1e70d444fb0,Google Workspace,yes
hallo@comprisma.de,comprisma,https://comprisma.de,https://scribtly.com/ref/1ccb64d3de99be1661cc78c7bd16ed2b,Microsoft 365,yes
info@brightclick.us,Bright,https://brightclick.us,https://scribtly.com/ref/5d28bfb0d8e3ead45ac14e1b74318a05,Google Workspace,yes
inquiries@infinityrayz.com,Infinity,https://infinityrayz.com,https://scribtly.com/ref/efd87c8895b219ef912543c9e8e469a3,Custom / Other,yes
inquiry@cal-webdesign.com,Cal,https://cal-webdesign.com,https://scribtly.com/ref/29d78abd484bb355042c05c14cd25a3e,Custom / Other,yes
agency@newtarget.com,New,https://newtarget.com,https://scribtly.com/ref/e8236000b39e56aaa3dc131aec8e5738,Microsoft 365,yes
info@hellojamesmay.com,HelloJamesMay,https://hellojamesmay.com,https://scribtly.com/ref/b7d3ad79def070b5b5d3042fe1dec305,Custom / Other,yes
info@nationallogodesigns.com,National,https://nationallogodesigns.com,https://scribtly.com/ref/6ee18196d503c72ba43b0be4992c02c7,Microsoft 365,yes
info@warschawski.com,Warschawski,https://warschawski.com,https://scribtly.com/ref/6d21a082b1530e1cd5abc1e5bb56d72d,Google Workspace,yes
hello@kevllar.com,Kevllar,https://kevllar.com,https://scribtly.com/ref/c1825412de2384291a6d13817ac93edd,Google Workspace,yes
customer_support@pristineadvisers.com,Pristine,https://pristineadvisers.com,https://scribtly.com/ref/a584dc688e6d1b67e3ad5d38bb0b4677,Microsoft 365,yes
contact@capitolamedia.com,Capitola,https://capitolamedia.com,https://scribtly.com/ref/c7182092a1943afc3cf64dba2aedc81c,Google Workspace,yes
info@thrivewebdesigns.com,Thrive,https://thrivewebdesigns.com,https://scribtly.com/ref/231ae1cb2befef8a29dab72aa7e53f98,Google Workspace,yes
contacto@atreyuwebs.com,Atreyuwebs,https://atreyuwebs.com,https://scribtly.com/ref/067a9e7ce3a433dee36f33e3cf86a812,Custom / Other,yes
info@webcanopystudio.com,Web,https://webcanopystudio.com,https://scribtly.com/ref/de0f45f32c2b5cc8630dd1d1940a9c0a,Google Workspace,yes
info@navegabem.com,Navega,https://navegabem.com,https://scribtly.com/ref/212be7694f35270068b305fdb90ce86f,Custom / Other,yes
atemperante@volkartmay.com,Volkart,https://volkartmay.com,https://scribtly.com/ref/c192e18f44b80e2b1167aa3435cae066,Microsoft 365,yes
info@hnemktconsultancy.com,HnE,https://hnemktconsultancy.com,https://scribtly.com/ref/6800b544ee8ed63713b5ded0129f323d,Custom / Other,yes
info@profitgateweb.com,Profit,https://profitgateweb.com,https://scribtly.com/ref/cf36ad88ebc4d8fdef977b50e47b9d41,Custom / Other,yes
hola@losamigosdigitales.com,los,https://losamigosdigitales.com,https://scribtly.com/ref/e7572351709ba73768b07474c5b2f85c,Custom / Other,yes
info@rjuhasta.com,Rjuhasta,https://rjuhasta.com,https://scribtly.com/ref/741565b96d67bca51e65735baa39e9f2,Microsoft 365,yes
hi@mktdirector.com,MKTDIRECTOR,https://mktdirector.com,https://scribtly.com/ref/3cf7e198c24c31d1e63c0feebda4ac5b,Google Workspace,yes
support@digitalnexa.com,Nexa,https://digitalnexa.com,https://scribtly.com/ref/8e17ef5ebe5887252f74c533a27aa41c,Google Workspace,yes
hello@digivate.com,Digivate,https://digivate.com,https://scribtly.com/ref/f2d52594fa7757b9bee313eeef2ebf31,Google Workspace,yes
hello@aryanjalandigital.com,A.J.D.,https://aryanjalandigital.com,https://scribtly.com/ref/5f99773c19e8ce086443d0876979ec95,Google Workspace,yes
info@empiread.com,Empire,https://empiread.com,https://scribtly.com/ref/b02f945945d3911110c692c21eaa925d,Google Workspace,yes
hello@thinkorion.com,Think,https://thinkorion.com,https://scribtly.com/ref/6b9fa059f65127222433423fe1a98748,Google Workspace,yes
info@ecreatesolutions.com,Ecreate,https://ecreatesolutions.com,https://scribtly.com/ref/c57be6ea7b38530caec06780d75317cd,Custom / Other,yes
info@techiesindiainc.com,Techies,https://techiesindiainc.com,https://scribtly.com/ref/f73ffea7fcb071388d94ac61506cb768,Custom / Other,yes
info@mizzmarketing.com,Mizz,https://mizzmarketing.com,https://scribtly.com/ref/cb20ceddbaf5250660898920018170de,Google Workspace,yes
hello@bravoedagency.com,Bravoed,https://bravoedagency.com,https://scribtly.com/ref/697062fb8bb25b2e2bad7e3a6bef50c1,Google Workspace,yes
info@brandel.com.mx,Brandel,https://brandel.com.mx,https://scribtly.com/ref/5f660a359c084a999680253d84a85140,Microsoft 365,yes
hello@ponderosa.agency,Ponderosa,https://ponderosa.agency,https://scribtly.com/ref/dff608ca48c9debdd2b14d3e02640b7c,Microsoft 365,yes
info@nextgenwebbuilders.com,Next,https://nextgenwebbuilders.com,https://scribtly.com/ref/4ecb477a69f9c89186c7a70e794f935c,Custom / Other,yes
info@neolynx.com,Neolynx,https://neolynx.com,https://scribtly.com/ref/ee2594f3bff2e673f1c120ac80b3d0c9,Google Workspace,yes
info@uniquesdata.com,Uniquesdata,https://uniquesdata.com,https://scribtly.com/ref/55061dddf5ce167bd79fbbea30673d56,Microsoft 365,yes
info@advertas.com,Advertas,https://advertas.com,https://scribtly.com/ref/5906c58aee4b5ba2a6377799aba4bb6e,Custom / Other,yes
info@harmonygraphicdesign.com,Harmony,https://harmonygraphicdesign.com,https://scribtly.com/ref/d956b4dc9d5a4538f4c25754417d1904,Google Workspace,yes
say_hello@hunterlodge.co.uk,Hunterlodge,https://hunterlodge.co.uk,https://scribtly.com/ref/cb2097e37849189946f08bd3f880a6a2,Custom / Other,yes
info@igrapes.pl,iGrapes,https://igrapes.pl,https://scribtly.com/ref/12d71ca5ae797cec548094ae4c3e3868,Google Workspace,yes
info@strativera.com,Strativera,https://strativera.com,https://scribtly.com/ref/dbfdf4027e8010bdea015d588f239af4,Google Workspace,yes
hello@meaningfulsocialclub.com,The,https://meaningfulsocialclub.com,https://scribtly.com/ref/33597ca5e7dede75f7ccb417cf2456db,Google Workspace,yes
team@swflmediaconsultants.com,SWFL,https://swflmediaconsultants.com,https://scribtly.com/ref/877e0dfeeebd466121d26f53003ff449,Google Workspace,yes
info@puracomunicacao.com.br,Pura,https://puracomunicacao.com.br,https://scribtly.com/ref/0de2e8bed5430fb8165b8a33ebd14799,Google Workspace,yes
info@intersoltech.com,Intersol,https://intersoltech.com,https://scribtly.com/ref/566b7b6dbc24477bb8eb25f5b5751ff7,Google Workspace,yes
care@brandloom.com,BrandLoom,https://brandloom.com,https://scribtly.com/ref/a0644e8fc7cc82d79238ddb352ede00c,Google Workspace,yes
info@writepublishers.com,The,https://writepublishers.com,https://scribtly.com/ref/8d4bd48cc568346bd613359ba5ca6cc2,Custom / Other,yes
info@evenvision.com,EvenVision,https://evenvision.com,https://scribtly.com/ref/85c5dad7e767fe4bc59b466bb31c7270,Google Workspace,yes
info@nowtechnologysystems.com.au,Now,https://nowtechnologysystems.com.au,https://scribtly.com/ref/5b09ea65a10b9fc12b52cc53b686a71b,Custom / Other,yes
info@oscar-referencement.com,OSCAR,https://oscar-referencement.com,https://scribtly.com/ref/a87f5c2b4748d988d2fe1c004a819824,Google Workspace,yes
contact@webdesignservices.net,Seller's,https://webdesignservices.net,https://scribtly.com/ref/0ae86a427ddb35a1f1e434ae75b6e042,Custom / Other,yes
info@aguybstudios.com,Aguyb,https://aguybstudios.com,https://scribtly.com/ref/35ea4dead812973ace11ff9d63b58ada,Google Workspace,yes
info@wittipmedia.com,Wittipmedia,https://wittipmedia.com,https://scribtly.com/ref/7b9d0b0377ad0e1c64f47332074532c2,Google Workspace,yes
info@brightorangethread.com,Bright,https://brightorangethread.com,https://scribtly.com/ref/eeb5bc269e26fcaac40f0735c4d5c2f8,Google Workspace,yes
info@creativeblue.agency,Creative,https://creativeblue.agency,https://scribtly.com/ref/6e7a3090983cd9398c5a2cbbbdf251f7,Google Workspace,yes
info@hyperweb.ca,Hyperweb,https://hyperweb.ca,https://scribtly.com/ref/7b681d7a0ab7f0ed778fd220fcfd0255,Google Workspace,yes
info@redboxmedia.co.za,RedBox,https://redboxmedia.co.za,https://scribtly.com/ref/4b68ff5252df2cef9da4f9115be4d265,Custom / Other,yes
contact@321webmarketing.com,321,https://321webmarketing.com,https://scribtly.com/ref/e54c8336e9aea6fddcd2a7d8ca9c71c3,Google Workspace,yes
info@laneterralever.com,LaneTerralever,https://laneterralever.com,https://scribtly.com/ref/10634f4cded00f5a4855760479c2a0ab,Custom / Other,yes
ciao@midable.it,Midable,https://midable.it,https://scribtly.com/ref/49d2974e67bad5b22b35e8b8ad346b92,Google Workspace,yes
info@readinessmedia.com,Readiness,https://readinessmedia.com,https://scribtly.com/ref/55d9a80065fe0d67c23789b667c407a7,Custom / Other,yes
info@brandrukus.com,BrandRukus,https://brandrukus.com,https://scribtly.com/ref/b118e8d833ce9a1c5b210c29b3197f92,Google Workspace,yes
info@norbert-kathriner.ch,Boutique,https://norbert-kathriner.ch,https://scribtly.com/ref/72b01472241365832bb56ba92a6fd1ef,Custom / Other,yes
info@digiconceptng.com,Digiconceptng,https://digiconceptng.com,https://scribtly.com/ref/d759452a2c8bcbc4407aa934113a2e9c,Custom / Other,yes
info@impacto.co.nz,Impacto,https://impacto.co.nz,https://scribtly.com/ref/af257bc1164e9416d6dcda3663f19e82,Google Workspace,yes
info@richardsonmediagroup.com,Richardson,https://richardsonmediagroup.com,https://scribtly.com/ref/b1f23610a2d3315ab3a8a983f2665a5f,Google Workspace,yes
info@stephcorrigan.com,Steph,https://stephcorrigan.com,https://scribtly.com/ref/6bcf064e5ed426284e1fb026e1550f4d,Google Workspace,yes
info@noisycreations.com.au,Noisy,https://noisycreations.com.au,https://scribtly.com/ref/3aeb81eded908185b6489b122545d7df,Google Workspace,yes
info@digimedia.lv,Digi,https://digimedia.lv,https://scribtly.com/ref/7f3566b3ab73a73875a8ed222c2fa9f8,Invalid MX,no
info@bihmarketing.ba,BIHMARKETING,https://bihmarketing.ba,https://scribtly.com/ref/6d377b0673a1397c2d400ff92c6b9a06,Custom / Other,yes
hello@studiodirt.co,Studio,https://studiodirt.co,https://scribtly.com/ref/f5fbcbe9a7f47db34e4e9a9bb4c21375,Google Workspace,yes
info@brandshyp.org,BrandShyp,https://brandshyp.org,https://scribtly.com/ref/f5ccd2186a4ff95fec0023eec06e9756,Custom / Other,yes
info@trafik.studio,Trafik,https://trafik.studio,https://scribtly.com/ref/0f451e370a6551c906f08ab591d8c1c2,Google Workspace,yes
info@marketoptionscenter.com,Market,https://marketoptionscenter.com,https://scribtly.com/ref/1bb78461c15aaa665ce406417377a12d,Custom / Other,yes
hello@dante.media,Dante,https://dante.media,https://scribtly.com/ref/f9cf068584cd822690dc5bb0c73b5791,Google Workspace,yes
info@seobostonma.com,SEO,https://seobostonma.com,https://scribtly.com/ref/08be978dab8e5d32c30592d0dbc7a500,Google Workspace,yes
info@chrisayerscreative.com,Chris,https://chrisayerscreative.com,https://scribtly.com/ref/4fe5a2d1a8c97aefde64c08cb8fd57ca,Google Workspace,yes
info@rainytownmedia.com,Rainy,https://rainytownmedia.com,https://scribtly.com/ref/41b8629e67f3f5455a408ac9d95fd8dc,Google Workspace,yes
