email,status,confidence,catch_all,role_based,methods,detail,provider,agency,website,first_name,ref_url
info@heydigi.marketing,unknown,42,no,yes,,ports_blocked,Google Workspace,Hey! Digi,https://heydigi.marketing,Hey!,https://scribtly.com/ref/8864dd2d57116b67d999f66e5b1b2648
info@rawrglobal.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Rawr Global Pte Ltd,https://rawrglobal.com,Rawr,https://scribtly.com/ref/35fba2aaeb49900e7baef26145f936a5
info@mouche.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Mouche,https://mouche.com,Mouche,https://scribtly.com/ref/7f568cf9ff51985354c1f06377da11c2
info@marshallmedia.io,unknown,42,no,yes,,ports_blocked,Google Workspace,Marshall Media LLC,https://marshallmedia.io,Marshall,https://scribtly.com/ref/1db64518967ba1f8f6f42576151060a9
info@blacknoizefilms.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Black Noize Films PTY LTD,https://blacknoizefilms.com,Black,https://scribtly.com/ref/6b967d6beaba22da28ca7d12d101afaa
info@tvscube.com,unknown,42,no,yes,,ports_blocked,Custom / Other,TvsCube,https://tvscube.com,TvsCube,https://scribtly.com/ref/a356bbacaadba2153d8ac7548308ad96
contact@smartsites.com,unknown,42,no,yes,,ports_blocked,Google Workspace,SmartSites,https://smartsites.com,SmartSites,https://scribtly.com/ref/84bd6c3e8b7a064a9648b5e2eed66033
info@digineutrons.com,unknown,25,no,yes,,ports_blocked,Custom / Other,Digineutrons LLC,https://digineutrons.com,Digineutrons,https://scribtly.com/ref/c9a6d32345af7266a14b8e5fde085cba
contact@acupuncturemarketingpros.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Acupuncture Marketing Pros,https://acupuncturemarketingpros.com,Acupuncture,https://scribtly.com/ref/cea599eb89f6959a45b84dffa93ce37f
info@upliftmedia.us,unknown,42,no,yes,,ports_blocked,Google Workspace,Uplift Media,https://upliftmedia.us,Uplift,https://scribtly.com/ref/8f37a1d492017532836f653300194261
info@wedothisbest.com,unknown,42,no,yes,,ports_blocked,Custom / Other,We Do This Best,https://wedothisbest.com,We,https://scribtly.com/ref/0a74e1279e7294a0a3d08c1122f7c463
info@lezsolutions.com,unknown,42,no,yes,,ports_blocked,Custom / Other,LEZ Solutions,https://lezsolutions.com,LEZ,https://scribtly.com/ref/e3cac2e99db87599a549d26e7680c5c4
info@interodigital.com,catch_all,42,yes,yes,smtp_587_catchall,port587 250,Custom / Other,Intero Digital,https://interodigital.com,Intero,https://scribtly.com/ref/db3eec8bbe8fba3b52262efe3497d62c
info@epilogue.co.in,unknown,25,no,yes,,ports_blocked,Google Workspace,Epilogue,https://epilogue.co.in,Epilogue,https://scribtly.com/ref/75565758be6bb7d519599b14ab666969
info@bigwebmedia.co.za,invalid,0,no,yes,,port587 503 sender not yet given,Custom / Other,Big Web Media,https://bigwebmedia.co.za,Big,https://scribtly.com/ref/af02a75c2bf4e2d2434f58d6122c70be
info@kineticanimations.com,invalid,0,no,yes,,port465 550 5.1.1 <info@kineticanimations.com>: Recipient address reject,Custom / Other,Kinetic Animations,https://kineticanimations.com,Kinetic,https://scribtly.com/ref/194f094ad78ea68b7f969732e7f4debd
hello@sosmarketing.uk,unknown,42,no,yes,,ports_blocked,Google Workspace,SOS Marketing,https://sosmarketing.uk,SOS,https://scribtly.com/ref/78c0985be14f099d70a124324a635b1e
info@esferasoft.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Esferasoft Solutions Pvt. Ltd.,https://esferasoft.com,Esferasoft,https://scribtly.com/ref/73be317076340386c48a413ca4342632
ideas@moochcreative.co.uk,invalid,0,no,no,,microsoft_api_rejected,Microsoft 365,Mooch Creative Studio,https://moochcreative.co.uk,Mooch,https://scribtly.com/ref/8e145de9af240f5d0b70e48e34a18c37
info@ersocialmarketing.com,unknown,34,no,yes,,ports_blocked,Google Workspace,"ER Social Marketing, LLC",https://ersocialmarketing.com,ER,https://scribtly.com/ref/ac430bddc781748c8ce93adb9b4e20ee
contact@boat.media,unknown,34,no,yes,,ports_blocked,Google Workspace,BOAT.media,https://boat.media,BOAT.media,https://scribtly.com/ref/2723f9cc67e883b8d960de973cd68b09
info@bonnie-clyde.ro,unknown,34,no,yes,,ports_blocked,Google Workspace,Bonnie & Clyde Advertising Studio,https://bonnie-clyde.ro,Bonnie,https://scribtly.com/ref/1b89fd964f5347e75f334384a94bbf3c
info@studiogusto.com,invalid,0,no,yes,,port587 554 5.7.1 <unknown[77.70.124.114]>: Client host rejected: Access,Custom / Other,Gusto Italian Design Studio,https://studiogusto.com,Gusto,https://scribtly.com/ref/8485da2088c5f45f28afa253de330371
info@parkandbattery.com,invalid,0,no,yes,,microsoft_api_rejected,Microsoft 365,Park & Battery,https://parkandbattery.com,Park,https://scribtly.com/ref/59b23998a89ed9f24f7b701b30129064
info@midas-pr.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Midas PR Group,https://midas-pr.com,Midas,https://scribtly.com/ref/cf172576ec7978c0305bd352d99b7cdb
info@oscorm.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Oscorm Digital PVT LTD,https://oscorm.com,Oscorm,https://scribtly.com/ref/a4b961451bfcfad375d34c864b4b9b50
contact@magebit.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Magebit,https://magebit.com,Magebit,https://scribtly.com/ref/2ed0559512465e08566eac10e74d9abe
hello@carsondoyle.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Carson+Doyle,https://carsondoyle.com,Carson+Doyle,https://scribtly.com/ref/3a3638254ddfedaa10224a4a255f3eb4
contact@alamedaim.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Alameda Internet Marketing,https://alamedaim.com,Alameda,https://scribtly.com/ref/35151a9580833e096494b96f2760d103
info@rayadvertising.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Ray Advertising,https://rayadvertising.com,Ray,https://scribtly.com/ref/be1e17a8a92f857fbb44c2aefd629e2a
contact@shawfiremedia.com,valid,78,no,yes,microsoft_api,ports_blocked,Microsoft 365,Shawfire Media,https://shawfiremedia.com,Shawfire,https://scribtly.com/ref/93e9305e03fd28c197b21c1f242a538b
info@caranaweb.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,CaraNaWeb Digital,https://caranaweb.com,CaraNaWeb,https://scribtly.com/ref/43020c42ed159a7120f8e55c7e990eb8
info@voronyx.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Voronyx,https://voronyx.com,Voronyx,https://scribtly.com/ref/f4140794faf8f371fadd19f252fe52cc
info@lynxweb.eu,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,lynx Web Designer,https://lynxweb.eu,lynx,https://scribtly.com/ref/968340b864450f538593cceba4c67d68
contact@ironing.club,unknown,42,no,yes,,ports_blocked,Google Workspace,Ironing Club,https://ironing.club,Ironing,https://scribtly.com/ref/df7d75e1280a2050c6fd85f7320c73a7
contact@scribbleroomanimation.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Scribble Room Animation,https://scribbleroomanimation.com,Scribble,https://scribtly.com/ref/74c9a791426220fe665b2054601b1306
hello@tellart.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Tellart,https://tellart.com,Tellart,https://scribtly.com/ref/2f140e2c5e13e67242240f6402c61ec0
info@silverbackstrategies.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Silverback Strategies,https://silverbackstrategies.com,Silverback,https://scribtly.com/ref/582704137f7a274836dacbca3ba10bfd
info@growecombrand.com,unknown,25,no,yes,,ports_blocked,Google Workspace,Ecom Health,https://growecombrand.com,Ecom,https://scribtly.com/ref/b2c14637254aa344c9b76e76bcc5094a
info@optirank.co,unknown,34,no,yes,,ports_blocked,Custom / Other,Optirank,https://optirank.co,Optirank,https://scribtly.com/ref/25510825da49b7553d6afb1ccfb80f73
hello@burst.agency,valid,78,no,yes,microsoft_api,ports_blocked,Microsoft 365,Burst Agency,https://burst.agency,Burst,https://scribtly.com/ref/b300cd2823eff8b33905b107c15fd358
info@joleighmarketing.com,unknown,42,no,yes,,ports_blocked,Google Workspace,jo + leigh marketing,https://joleighmarketing.com,jo,https://scribtly.com/ref/915928d43767e82e45debf330d18e738
contact@thelanygroup.com,unknown,42,no,yes,,ports_blocked,Google Workspace,The LANY Group,https://thelanygroup.com,The,https://scribtly.com/ref/3e243d2089743c079a5e98c1c52ab4a3
letstalk@arcsncurves.com,valid,50,no,no,,ports_blocked,Google Workspace,Arcs & Curves,https://arcsncurves.com,Arcs,https://scribtly.com/ref/20717730e63519a88fb1d49d8f56db05
contact@6degreesit.com,unknown,42,no,yes,,ports_blocked,Google Workspace,6DegreesIT,https://6degreesit.com,6DegreesIT,https://scribtly.com/ref/882c269308ce6c344eb24c04d88816f4
contact@spintouch.com,unknown,42,no,yes,,ports_blocked,Google Workspace,SpinTouch,https://spintouch.com,SpinTouch,https://scribtly.com/ref/33b5f8c7fa13e0e0a7c527b2fd5a702a
alessandro@brandgnu.it,unknown,40,no,no,,ports_blocked,Custom / Other,Brand Gnu Srl,https://brandgnu.it,Brand,https://scribtly.com/ref/5e867bfbacfa6206587859742d12cf31
info@donbue.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Don,https://donbue.com,Don,https://scribtly.com/ref/92ec797295ae67946adfeed2d6e6a17d
contact@blackstagindustries.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Black Stag Industries,https://blackstagindustries.com,Black,https://scribtly.com/ref/7be00e61ea74c0e400a0b78c4dd5b093
info@beholde.agency,unknown,34,no,yes,,ports_blocked,Custom / Other,beholde,https://beholde.agency,beholde,https://scribtly.com/ref/024ca867399cba7c2e682bfbdac6b3e6
contact@cmavideo.co.uk,unknown,34,no,yes,,ports_blocked,Google Workspace,CMA Video,https://cmavideo.co.uk,CMA,https://scribtly.com/ref/956bf057a9d5ed104091a21df1f9b72c
info@highervisibility.com,unknown,42,no,yes,,ports_blocked,Google Workspace,HigherVisibility,https://highervisibility.com,HigherVisibility,https://scribtly.com/ref/51e0069efbfbd1aeba6e66ec3dd11cd5
contact@thebettercreative.com,unknown,42,no,yes,,ports_blocked,Google Workspace,The Better Creative,https://thebettercreative.com,The,https://scribtly.com/ref/e7fe675db5baa4fb593d24e2a75826fd
info@cherrytreeagency.com,unknown,34,no,yes,,ports_blocked,Google Workspace,CherryTree Ltd.,https://cherrytreeagency.com,CherryTree,https://scribtly.com/ref/26aca43768408d38e43be0124f0de91b
info@scaledon.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Scaledon,https://scaledon.com,Scaledon,https://scribtly.com/ref/510d7d8808dd478219162599097fd6b8
contact@42connect.com,unknown,42,no,yes,,ports_blocked,Google Workspace,42connect,https://42connect.com,42connect,https://scribtly.com/ref/b86ceb886b12da0caa28a7617e68f229
hello@mindcob.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Mindcob,https://mindcob.com,Mindcob,https://scribtly.com/ref/638fdaa378c4bfa7c84f337e35c9576b
info@milestonevisuals.tv,unknown,34,no,yes,,ports_blocked,Google Workspace,Milestone Visuals,https://milestonevisuals.tv,Milestone,https://scribtly.com/ref/61f7221e6489d2e25c1386e23234fe78
hello@appkods.com,unknown,34,no,yes,,ports_blocked,Custom / Other,Appkod,https://appkods.com,Appkod,https://scribtly.com/ref/dba5894c6732f394a12d54ce095ade67
hello@skalum.agency,unknown,42,no,yes,,ports_blocked,Google Workspace,Skalum,https://skalum.agency,Skalum,https://scribtly.com/ref/7675b99fee3dece626d7f3d41d7c4a0a
info@marsdenmarketing.com,valid,78,no,yes,microsoft_api,ports_blocked,Microsoft 365,Marsden Marketing,https://marsdenmarketing.com,Marsden,https://scribtly.com/ref/25b613989f0e95edf2b04e82ee963526
info@hayesmedia.co.za,unknown,34,no,yes,,ports_blocked,Google Workspace,Hayes Media,https://hayesmedia.co.za,Hayes,https://scribtly.com/ref/47454562db93ac2077f5ec28e36102a4
info@creativebroadcast.ae,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Creative Broadcast Agency,https://creativebroadcast.ae,Creative,https://scribtly.com/ref/f7cc1f838c6884d1dc99a39fb396721f
office@exito.bg,invalid,0,no,no,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Exito BG,https://exito.bg,Exito,https://scribtly.com/ref/850589746377d929c539062d6a14acdb
info@freelan.com.mx,unknown,42,no,yes,,ports_blocked,Google Workspace,Freelan Marketing,https://freelan.com.mx,Freelan,https://scribtly.com/ref/62f2116984f4fab9626dc993b8d5dd35
info@creasenso.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Creasenso,https://creasenso.com,Creasenso,https://scribtly.com/ref/74c1952c7f340f3600bc1bb114db1384
info@trellis.co,unknown,42,no,yes,,ports_blocked,Google Workspace,Trellis,https://trellis.co,Trellis,https://scribtly.com/ref/38bd75bcc392595ecc8b9eebd0934b08
info@boopin.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Boopin,https://boopin.com,Boopin,https://scribtly.com/ref/a209e16a92828e381b2e0aba30dd02be
info@thisismirage.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Mirage,https://thisismirage.com,Mirage,https://scribtly.com/ref/a6f38c9a9387904391eeca940285efb6
info@codete.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Codete,https://codete.com,Codete,https://scribtly.com/ref/4221485bb5624dbf957b2f47db8ebf22
info@a101.com,unknown,42,no,yes,,ports_blocked,Google Workspace,A101,https://a101.com,A101,https://scribtly.com/ref/6fe7055ce291c206d7405b064052d140
contact@flinksol.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Flink Sol,https://flinksol.com,Flink,https://scribtly.com/ref/430ced3049a4190b1272fe2abf6e6759
info@inconllc.com,unknown,34,no,yes,,ports_blocked,Custom / Other,"InCon, LLC",https://inconllc.com,"InCon,",https://scribtly.com/ref/9333d92f7bfff3397b86e0b32139ab79
info@strategically.co,unknown,42,no,yes,,ports_blocked,Google Workspace,Strategically,https://strategically.co,Strategically,https://scribtly.com/ref/ad4d2061a4b997de3306f949bd844975
camo@japijipicrea.com,unknown,40,no,no,,ports_blocked,Google Workspace,Japi Jipi,https://japijipicrea.com,Japi,https://scribtly.com/ref/4ee2dfc2c9bf0ad171547b654e9a84a5
info@rarecide.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Rarecide,https://rarecide.com,Rarecide,https://scribtly.com/ref/50009f201511e437ada6adbe0ddae040
studio@asakofilm.ch,unknown,42,no,yes,,ports_blocked,Custom / Other,Asako Film,https://asakofilm.ch,Asako,https://scribtly.com/ref/7582e7e8c1c36d05dfd676258426f48d
info@accelerateddigitalmedia.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Accelerated Digital Media,https://accelerateddigitalmedia.com,Accelerated,https://scribtly.com/ref/1afd16e70f1a37c8e26db7b74fe5fdd8
info@diegohelp.com,invalid,0,no,yes,,port465 502 5.5.1 MAIL first,Custom / Other,DIEGO HELP,https://diegohelp.com,DIEGO,https://scribtly.com/ref/9cc6d9f0f5506d0a0a40ce134d0695ea
info@taleeftech.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Taleef Technologies,https://taleeftech.com,Taleef,https://scribtly.com/ref/c11f3f2c5a73ca2415858ce687e9af1d
info@ideation-digital.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Ideation Digital Marketing,https://ideation-digital.com,Ideation,https://scribtly.com/ref/9e2e06894829eaf6a1879b92b11cb482
partner@ranktix.co.uk,valid,50,no,no,,ports_blocked,Custom / Other,Ranktix,https://ranktix.co.uk,Ranktix,https://scribtly.com/ref/9dc05069a4295c4b0fcf339760409c12
info@moolaymedia.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Moolay Media,https://moolaymedia.com,Moolay,https://scribtly.com/ref/99085d1722dd357b444adb5bd9d4ffdd
info@itplus.ae,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,IT Plus,https://itplus.ae,IT,https://scribtly.com/ref/3323ddff3e3d01700c3e3683af1ffe66
jobs@digitalsilk.com,valid,92,no,no,microsoft_api,ports_blocked,Microsoft 365,Digital Silk,https://digitalsilk.com,Digital,https://scribtly.com/ref/27961f1e5bafda455da272a0723dce62
info@oystermedia.mu,unknown,42,no,yes,,ports_blocked,Custom / Other,Oyster Media Mauritius,https://oystermedia.mu,Oyster,https://scribtly.com/ref/845741a910510267fa6067afe12a5787
hello@yourhustler.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Your Hustler,https://yourhustler.com,Your,https://scribtly.com/ref/afc6ef0277a41cefb57bb50dbddba08e
info@teqlawn.com,unknown,42,no,yes,,ports_blocked,Custom / Other,Teqlawn,https://teqlawn.com,Teqlawn,https://scribtly.com/ref/b1be6ef0dd03d62eb9e53e46f83afd13
info@toyrobotmedia.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Toy Robot Media,https://toyrobotmedia.com,Toy,https://scribtly.com/ref/1e8bb9521dfaa78c96e4f6caa95d2dae
info@weekthink.com,unknown,42,no,yes,,ports_blocked,Custom / Other,WeekThink,https://weekthink.com,WeekThink,https://scribtly.com/ref/7a9428c1744cdc4b5ba29d7704545364
info@pymesign.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,Pymesign,https://pymesign.com,Pymesign,https://scribtly.com/ref/f336d914e937460133b16bb955a20ffa
sales@thekalifehmediagroup.com,unknown,34,no,yes,,ports_blocked,Custom / Other,The Kalifeh Media Group,https://thekalifehmediagroup.com,The,https://scribtly.com/ref/cd0d9c33129859930b3ab840c2ecfa4c
hello@eiportfolio.com,invalid,0,no,yes,,port587 550 SMTP AUTH is required for message submission on port 587,Custom / Other,EiPortfolio,https://eiportfolio.com,EiPortfolio,https://scribtly.com/ref/273436e9943d140c35facf6bf4881fea
contact@ryven.co,invalid,0,no,yes,,port465 502 5.5.1 MAIL first,Custom / Other,Ryven LTD,https://ryven.co,Ryven,https://scribtly.com/ref/915d31073257c9533299284a6ec35647
contact@justwebagency.com,unknown,42,no,yes,,ports_blocked,Google Workspace,Just Web Agency,https://justwebagency.com,Just,https://scribtly.com/ref/190300688d0caae3f4a780f3999becb4
sales@ztsindia.com,unknown,34,no,yes,,ports_blocked,Google Workspace,Zebra Techies Solution (ZTS),https://ztsindia.com,Zebra,https://scribtly.com/ref/b8917bfc211cf4d7f91a6699ef56cbb8
thomas@agence-cumulus.com,unknown,40,no,no,,ports_blocked,Custom / Other,Agence Cumulus,https://agence-cumulus.com,Agence,https://scribtly.com/ref/45c1b661e2894f07988dcade948f1ba8
